%36.draw.vertexCount,%36.draw.instanceCount,%36.draw.firstVertex,%36.draw.firstInstance,%36.draw.aabb
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6069,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
12297,1,0,0,"[2.0000, 2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6180,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
7722,1,0,0,"[2.0000, 2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
12318,1,0,0,"[2.0000, 2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
8892,1,0,0,"[2.0000, 2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-2.0000, -2.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[0.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[-1.0000, -1.0000, 4.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[3.0000, -3.0000, 1.0000, 1.0000]"
6144,1,0,0,"[2.0000, -3.0000, 1.0000, 1.0000]"
6150,1,0,0,"[2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -1.0000, 3.0000, 1.0000]"
6144,1,0,0,"[2.0000, -2.0000, 3.0000, 1.0000]"
24,861,0,0,"[0.0000, 0.0000, 0.0000, 0.0000]"
